Tis,N0,M0,0
T1,N0,M0,IA
T0,N1mi,M0,IB
T1,N1mi,M0,IB
T0,N1,M0,IIA
T1,N1,M0,IIA
T2,N0,M0,IIA
T2,N1,M0,IIB
T3,N0,M0,IIB
T0,N2,M0,IIIA
T1,N2,M0,IIIA
T2,N2,M0,IIIA
T3,N1,M0,IIIA
T3,N2,M0,IIIA
T4,N0,M0,IIIB
T4,N1,M0,IIIB
T4,N2,M0,IIIB
Tis,N3,M0,IIIC
T0,N3,M0,IIIC
T1,N3,M0,IIIC
T2,N3,M0,IIIC
T3,N3,M0,IIIC
T4,N3,M0,IIIC
Tis,N0,M1,IV
T0,N0,M1,IV
T1,N0,M1,IV
T2,N0,M1,IV
T3,N0,M1,IV
T4,N0,M1,IV
Tis,N1mi,M1,IV
T0,N1mi,M1,IV
T1,N1mi,M1,IV
T2,N1mi,M1,IV
T3,N1mi,M1,IV
T4,N1mi,M1,IV
Tis,N1,M1,IV
T0,N1,M1,IV
T1,N1,M1,IV
T2,N1,M1,IV
T3,N1,M1,IV
T4,N1,M1,IV
Tis,N2,M1,IV
T0,N2,M1,IV
T1,N2,M1,IV
T2,N2,M1,IV
T3,N2,M1,IV
T4,N2,M1,IV
Tis,N3,M1,IV
T0,N3,M1,IV
T1,N3,M1,IV,N3,M1,IV
T2,N3,M1,IV
T3,N3,M1,IV
T4,N3,M1,IV
